EST	EST Length	Query Start Position
Locus_21317_Transcript_2	1673	14
Locus_2741_Transcript_1	5331	4878
Locus_2741_Transcript_2	5139	4686
Locus_115182_Transcript_1	1919	91
Locus_50117_Transcript_1	7428	135
Locus_118610_Transcript_1	1108	842
Locus_118610_Transcript_2	1133	867
Locus_42899_Transcript_1	3030	2818
Locus_7120_Transcript_1	1960	1120
Locus_14752_Transcript_1	1824	60
Locus_38267_Transcript_1	1132	825
Locus_9111_Transcript_1	2078	127
Locus_9110_Transcript_1	2078	131
Locus_49734_Transcript_1	4034	3845
Locus_49735_Transcript_1	5115	4926
Locus_49737_Transcript_1	5037	4848
Locus_13488_Transcript_1	6163	6052
Locus_19906_Transcript_1	3137	3048
Locus_127733_Transcript_1	3890	3790
Locus_41269_Transcript_1	4211	102
Locus_104994_Transcript_1	1518	128
Locus_104993_Transcript_1	1627	128
Locus_104992_Transcript_1	1527	128
Locus_111850_Transcript_1	1606	1500
Locus_111851_Transcript_1	1554	1500
Locus_111852_Transcript_1	1606	1500
Locus_111854_Transcript_1	1562	1500
Locus_111855_Transcript_1	1562	1500
Locus_111856_Transcript_1	1562	1500
Locus_111857_Transcript_1	1562	1500
Locus_111859_Transcript_1	1589	1527
Locus_15584_Transcript_1	1166	62
Locus_92664_Transcript_1	2063	370
Locus_4854_Transcript_1	1945	206
Locus_71033_Transcript_1	6593	6320
Locus_48363_Transcript_1	1318	1253
Locus_54374_Transcript_1	6110	3363
Locus_54375_Transcript_1	6189	3042
Locus_54373_Transcript_1	6185	3363
Locus_35159_Transcript_1	3403	37
Locus_28691_Transcript_1	3156	2821
Locus_67740_Transcript_1	5415	88
Locus_111867_Transcript_1	1591	1527
Locus_100524_Transcript_1	8436	105
Locus_19659_Transcript_1	3314	106
Locus_100525_Transcript_1	5097	105
Locus_15677_Transcript_1	3124	1771
Locus_15677_Transcript_2	4075	1771
Locus_124453_Transcript_1	6636	6498
Locus_124458_Transcript_1	2234	220
Locus_120717_Transcript_1	5017	14
Locus_89976_Transcript_1	3779	934
Locus_97770_Transcript_1	3040	704
Locus_89977_Transcript_1	3755	934
Locus_11645_Transcript_2	2727	2690
Locus_64319_Transcript_1	1552	822
Locus_89975_Transcript_1	4106	934
Locus_27493_Transcript_1	1699	105
Locus_50269_Transcript_1	2081	1879
Locus_66317_Transcript_1	8223	275
Locus_66316_Transcript_1	5333	275
Locus_92291_Transcript_1	2412	2307
Locus_49748_Transcript_1	7023	6922
Locus_75873_Transcript_1	11,740	18
Locus_75255_Transcript_1	1670	86
Locus_75252_Transcript_1	677	57
Locus_75253_Transcript_1	3361	86
Locus_71401_Transcript_1	984	872
Locus_71400_Transcript_1	1073	872
Locus_71402_Transcript_1	1539	1470
Locus_38774_Transcript_1	2017	154
Locus_38770_Transcript_1	2215	404
Locus_38771_Transcript_1	1973	404
Locus_38772_Transcript_1	1624	246
Locus_38773_Transcript_1	2002	408
Locus_72980_Transcript_1	4719	3286
Locus_72983_Transcript_1	4366	2933
Locus_72985_Transcript_1	4323	2890
Locus_72984_Transcript_1	4060	2627
Locus_72986_Transcript_1	1539	453
Locus_116354_Transcript_1	3596	103
Locus_52343_Transcript_1	5189	31
Locus_120925_Transcript_1	1459	30
Locus_127364_Transcript_1	1697	619
Locus_103532_Transcript_1	3518	121
Locus_103533_Transcript_1	3673	121
Locus_96718_Transcript_1	2254	2183
Locus_96719_Transcript_1	2033	1962
Locus_99522_Transcript_1	4226	112
Locus_99523_Transcript_1	6622	2417
Locus_48702_Transcript_1	3097	98
Locus_48700_Transcript_1	3074	98
Locus_48701_Transcript_1	3039	98
Locus_604_Transcript_1	1187	1132
Locus_603_Transcript_1	2405	2350
Locus_602_Transcript_1	2457	2402
Locus_24654_Transcript_1	1507	44
Locus_57900_Transcript_1	1585	1500
Locus_32625_Transcript_1	1306	13
Locus_32625_Transcript_2	1268	13
Locus_53562_Transcript_1	2814	991
Locus_53566_Transcript_1	2764	991
Locus_101932_Transcript_1	2423	2274
Locus_101933_Transcript_1	1847	1698
Locus_101931_Transcript_1	2594	2445
Locus_71303_Transcript_1	8995	8722
Locus_76659_Transcript_1	1865	1402
Locus_76658_Transcript_1	1865	1402
Locus_76657_Transcript_1	4885	1402
Locus_76656_Transcript_1	4889	1406
Locus_40489_Transcript_1	1840	770
Locus_40485_Transcript_1	592	116
Locus_40487_Transcript_1	716	140
Locus_40486_Transcript_1	540	94
Locus_64164_Transcript_1	4279	67
Locus_64165_Transcript_1	4304	67
Locus_64166_Transcript_1	1832	67
Locus_53131_Transcript_1	2879	2602
Locus_53130_Transcript_1	1215	767
Locus_53133_Transcript_1	2889	2612
Locus_53132_Transcript_1	880	771
Locus_53135_Transcript_1	890	781
Locus_53137_Transcript_1	2137	781
Locus_53136_Transcript_1	846	781
Locus_1268_Transcript_1	2360	167
Locus_1268_Transcript_2	2329	72
Locus_128949_Transcript_1	1721	109
Locus_37850_Transcript_1	2112	32
Locus_99553_Transcript_1	8591	4324
Locus_67467_Transcript_1	899	871
Locus_99557_Transcript_1	5518	2010
Locus_92053_Transcript_1	2378	77
Locus_92052_Transcript_1	2314	77
Locus_32230_Transcript_1	1433	1384
Locus_1538_Transcript_1	1674	1550
Locus_40523_Transcript_1	1493	1434
Locus_40529_Transcript_1	1442	1383
Locus_59042_Transcript_1	2866	114
Locus_59041_Transcript_1	2687	114
Locus_59040_Transcript_1	2796	114
Locus_59047_Transcript_1	2780	114
Locus_59046_Transcript_1	2854	114
Locus_59044_Transcript_1	2807	114
Locus_59048_Transcript_1	2822	114
Locus_56542_Transcript_1	2597	261
Locus_56541_Transcript_1	2479	2164
Locus_129488_Transcript_1	3127	3031
Locus_58969_Transcript_1	2155	47
Locus_102753_Transcript_1	4477	326
Locus_102752_Transcript_1	3046	326
Locus_102751_Transcript_1	3209	326
Locus_102750_Transcript_1	3231	326
Locus_111846_Transcript_1	1560	1498
Locus_102757_Transcript_1	3201	326
Locus_102756_Transcript_1	3865	326
Locus_102755_Transcript_1	3889	326
Locus_102754_Transcript_1	4928	326
Locus_111840_Transcript_1	1601	1539
Locus_95951_Transcript_1	3459	406
Locus_95950_Transcript_1	4600	406
Locus_95953_Transcript_1	4906	406
Locus_95952_Transcript_1	4623	406
Locus_95955_Transcript_1	3445	406
Locus_95954_Transcript_1	4476	406
Locus_95957_Transcript_1	2284	406
Locus_95956_Transcript_1	2752	406
Locus_123740_Transcript_1	2660	253
Locus_48665_Transcript_1	1497	299
Locus_116309_Transcript_1	1646	1591
Locus_23445_Transcript_2	1442	12
Locus_23445_Transcript_3	1329	6
Locus_17030_Transcript_1	2632	1328
Locus_89381_Transcript_1	3886	2573
Locus_89380_Transcript_1	3859	2480
Locus_20525_Transcript_1	1122	34
Locus_100164_Transcript_1	3366	3284
Locus_77931_Transcript_1	5197	5133
Locus_77930_Transcript_1	3402	3338
Locus_78376_Transcript_1	5049	2531
Locus_58698_Transcript_1	2798	2624
Locus_72124_Transcript_1	3929	114
Locus_72123_Transcript_1	672	566
Locus_72122_Transcript_1	568	462
Locus_72120_Transcript_1	596	458
Locus_108400_Transcript_1	8198	7722
Locus_64937_Transcript_1	1937	18
Locus_64936_Transcript_1	4649	18
Locus_64935_Transcript_1	2003	18
Locus_64934_Transcript_1	2742	18
Locus_36787_Transcript_1	4873	4808
Locus_36787_Transcript_2	4987	4922
Locus_102768_Transcript_1	3898	326
Locus_102769_Transcript_1	5086	326
Locus_19772_Transcript_1	1796	1531
Locus_20099_Transcript_1	2437	2425
Locus_20090_Transcript_1	2254	2242
Locus_121769_Transcript_1	1502	829
Locus_122499_Transcript_1	3844	3781
Locus_125869_Transcript_1	1819	155
Locus_122763_Transcript_1	1234	106
Locus_122764_Transcript_1	1184	106
Locus_120407_Transcript_1	837	142
Locus_36817_Transcript_1	3686	300
Locus_92509_Transcript_1	2635	126
Locus_23398_Transcript_1	789	67
Locus_23398_Transcript_2	910	67
Locus_31959_Transcript_1	1880	158
Locus_31958_Transcript_1	1977	240
Locus_51487_Transcript_1	4345	616
Locus_95421_Transcript_1	807	715
Locus_128396_Transcript_1	577	88
Locus_95422_Transcript_1	843	715
Locus_87763_Transcript_1	2691	1937
Locus_102744_Transcript_1	5387	326
Locus_102745_Transcript_1	5421	326
Locus_102746_Transcript_1	2979	326
Locus_87762_Transcript_1	2687	1933
Locus_33087_Transcript_1	3427	1147
Locus_18344_Transcript_1	3840	101
Locus_102743_Transcript_1	5492	326
Locus_33086_Transcript_1	3664	1404
Locus_33088_Transcript_1	3150	898
Locus_81148_Transcript_1	2425	60
Locus_81143_Transcript_1	2475	60
Locus_81142_Transcript_1	2275	60
Locus_81146_Transcript_1	2345	60
Locus_81145_Transcript_1	2896	60
Locus_12339_Transcript_1	1936	1858
Locus_9726_Transcript_1	2998	2703
Locus_9724_Transcript_1	2881	2595
Locus_9723_Transcript_1	2998	2712
Locus_9720_Transcript_1	2583	2515
Locus_9721_Transcript_1	2878	2583
Locus_94915_Transcript_1	3044	104
Locus_94918_Transcript_1	4723	104
Locus_116227_Transcript_1	1731	75
Locus_116227_Transcript_2	1503	169
Locus_116227_Transcript_3	1701	54
Locus_106520_Transcript_1	5499	114
Locus_106521_Transcript_1	2796	138
Locus_106522_Transcript_1	2687	138
Locus_106523_Transcript_1	3986	138
Locus_106524_Transcript_1	4922	138
Locus_106525_Transcript_1	2772	138
Locus_72541_Transcript_1	706	576
Locus_72540_Transcript_1	1996	518
Locus_72542_Transcript_1	816	686
Locus_72545_Transcript_1	758	628
Locus_5003_Transcript_1	1762	42
Locus_84573_Transcript_1	4596	3316
Locus_84572_Transcript_1	3129	2822
Locus_84575_Transcript_1	4626	3346
Locus_84574_Transcript_1	3626	3319
Locus_84576_Transcript_1	3656	3349
Locus_86597_Transcript_1	6335	4810
Locus_86596_Transcript_1	6414	4889
Locus_44942_Transcript_1	916	719
Locus_44943_Transcript_1	916	719
Locus_44946_Transcript_1	1138	941
Locus_44947_Transcript_1	1246	1049
Locus_44948_Transcript_1	1138	941
Locus_44949_Transcript_1	1339	1142
Locus_50841_Transcript_1	762	613
Locus_50842_Transcript_1	736	613
Locus_1311_Transcript_1	1707	1623
Locus_1310_Transcript_1	1621	647
Locus_110890_Transcript_1	1772	1688
Locus_123134_Transcript_1	1979	47
Locus_82827_Transcript_1	1070	819
Locus_43109_Transcript_1	1740	1606
Locus_43108_Transcript_1	1792	1606
Locus_35344_Transcript_1	1084	711
Locus_35345_Transcript_1	1044	671
Locus_35343_Transcript_1	1028	655
Locus_28519_Transcript_1	1310	1197
Locus_28519_Transcript_2	1318	1205
Locus_45938_Transcript_1	3481	3470
Locus_45939_Transcript_1	3515	3504
Locus_90692_Transcript_1	1242	1124
Locus_90697_Transcript_1	1197	1079
Locus_90696_Transcript_1	1270	1079
Locus_78329_Transcript_1	3647	3609
Locus_78328_Transcript_1	3905	3867
Locus_78327_Transcript_1	3941	3903
Locus_77234_Transcript_1	802	13
Locus_77235_Transcript_1	1342	13
Locus_77236_Transcript_1	874	13
Locus_34589_Transcript_1	1114	1041
Locus_34589_Transcript_2	1145	1041
Locus_34586_Transcript_1	1843	1637
Locus_25643_Transcript_1	654	651
Locus_94914_Transcript_1	3665	104
Locus_63824_Transcript_1	2775	2632
Locus_63823_Transcript_1	2676	2533
Locus_104391_Transcript_1	3965	130
Locus_112151_Transcript_1	1277	141
Locus_112152_Transcript_1	1327	191
Locus_34917_Transcript_1	1837	1744
Locus_34919_Transcript_1	3634	2399
Locus_86378_Transcript_1	3419	413
Locus_4013_Transcript_1	1652	1530
Locus_41023_Transcript_1	788	664
Locus_41024_Transcript_1	829	235
Locus_41025_Transcript_1	851	235
Locus_41026_Transcript_1	802	235
Locus_16491_Transcript_1	1528	258
Locus_16490_Transcript_1	1503	258
Locus_16492_Transcript_1	1352	225
Locus_32935_Transcript_1	6069	86
Locus_99429_Transcript_1	4778	1327
Locus_99428_Transcript_1	5866	1327
Locus_99421_Transcript_1	3023	14
Locus_99420_Transcript_1	4507	1327
Locus_99423_Transcript_1	5028	1327
Locus_99425_Transcript_1	6588	775
Locus_99427_Transcript_1	5916	1327
Locus_99426_Transcript_1	4446	1327
Locus_78280_Transcript_1	1411	1264
Locus_78282_Transcript_1	1464	1317
Locus_119605_Transcript_1	2840	40
Locus_56595_Transcript_1	3699	3645
Locus_101159_Transcript_1	4057	3941
Locus_101151_Transcript_1	3922	3383
Locus_85339_Transcript_1	941	881
Locus_61296_Transcript_1	980	967
Locus_39913_Transcript_1	1355	756
Locus_39912_Transcript_1	659	600
Locus_39910_Transcript_1	692	600
Locus_84068_Transcript_1	2407	103
Locus_84067_Transcript_1	2911	103
Locus_111699_Transcript_1	2599	2521
Locus_57573_Transcript_1	4361	4197
Locus_57572_Transcript_1	4526	4362
Locus_39162_Transcript_1	1431	23
Locus_39163_Transcript_1	1771	23
Locus_39160_Transcript_1	1132	23
Locus_39161_Transcript_1	1386	23
Locus_12728_Transcript_1	1024	41
Locus_120969_Transcript_1	3157	123
Locus_128700_Transcript_1	1133	1038
Locus_100345_Transcript_1	3600	56
Locus_11031_Transcript_1	4898	124
Locus_56206_Transcript_1	3138	2782
Locus_56201_Transcript_1	1494	1368
Locus_56208_Transcript_1	2528	2402
Locus_56209_Transcript_1	3131	2779
Locus_16352_Transcript_1	620	91
Locus_16350_Transcript_1	778	249
Locus_16358_Transcript_4	2721	95
Locus_16358_Transcript_5	2835	95
Locus_16358_Transcript_6	3064	95
Locus_16358_Transcript_7	3227	95
Locus_16358_Transcript_8	3111	95
Locus_16358_Transcript_9	3135	95
Locus_16358_Transcript_10	2692	95
Locus_16358_Transcript_11	2466	95
Locus_16358_Transcript_12	2848	95
Locus_16358_Transcript_13	2756	95
Locus_16358_Transcript_14	2732	95
Locus_16358_Transcript_15	2664	95
Locus_16358_Transcript_16	2640	95
Locus_86446_Transcript_1	1340	710
Locus_36962_Transcript_1	2967	2877
Locus_36960_Transcript_1	1659	1448
Locus_21244_Transcript_1	7097	4682
Locus_21242_Transcript_1	6442	4682
Locus_111839_Transcript_1	1601	1539
Locus_108176_Transcript_1	9373	1698
Locus_130261_Transcript_1	2425	1200
Locus_24597_Transcript_1	2134	50
Locus_24596_Transcript_1	2134	23
Locus_24598_Transcript_1	1758	158
Locus_85279_Transcript_1	966	864
Locus_85278_Transcript_1	1018	811
Locus_60494_Transcript_1	2362	2357
Locus_81144_Transcript_1	2900	60
Locus_60496_Transcript_1	3657	3652
Locus_82704_Transcript_1	3693	1823
Locus_82705_Transcript_1	3786	1541
Locus_82706_Transcript_1	3794	1541
Locus_82707_Transcript_1	5606	1541
Locus_82700_Transcript_1	3598	1541
Locus_82701_Transcript_1	3590	1541
Locus_82702_Transcript_1	4076	1823
Locus_82703_Transcript_1	4068	1823
Locus_80705_Transcript_1	1846	1730
Locus_12680_Transcript_1	755	587
Locus_12681_Transcript_1	1465	710
Locus_12682_Transcript_1	1025	710
Locus_119962_Transcript_1	1789	46
Locus_82820_Transcript_1	2260	2175
Locus_58152_Transcript_1	2286	938
Locus_92943_Transcript_1	3869	1577
Locus_92942_Transcript_1	3610	1318
Locus_92941_Transcript_1	3705	1318
Locus_92944_Transcript_1	3954	1577
Locus_92949_Transcript_1	4094	1812
Locus_92948_Transcript_1	3852	1465
Locus_93019_Transcript_1	2486	306
Locus_76420_Transcript_1	1543	43
Locus_102680_Transcript_1	3819	3725
Locus_102684_Transcript_1	8981	8887
Locus_109397_Transcript_1	1892	1581
Locus_102024_Transcript_1	1579	1079
Locus_102026_Transcript_1	2927	2157
Locus_102023_Transcript_1	1849	1079
Locus_68205_Transcript_1	4660	3670
Locus_81138_Transcript_1	2447	60
Locus_81139_Transcript_1	2403	60
Locus_109110_Transcript_1	4993	4831
Locus_109112_Transcript_1	5024	4862
Locus_36651_Transcript_1	5724	108
Locus_36651_Transcript_2	5772	108
Locus_36651_Transcript_3	5383	86
Locus_36651_Transcript_4	5715	86
Locus_36651_Transcript_5	5415	86
Locus_36651_Transcript_6	5755	86
Locus_83758_Transcript_1	5362	4197
Locus_96216_Transcript_1	6162	1723
Locus_44839_Transcript_1	1820	1711
Locus_126766_Transcript_1	2533	2421
Locus_96268_Transcript_1	4787	4687
Locus_96267_Transcript_1	4721	4621
Locus_124999_Transcript_1	2035	123
Locus_121813_Transcript_1	5245	169
Locus_121812_Transcript_1	5131	169
Locus_45719_Transcript_1	1114	1089
Locus_12340_Transcript_1	2073	1995
Locus_48650_Transcript_1	3314	5
Locus_48651_Transcript_1	3382	5
Locus_68999_Transcript_1	2788	227
Locus_68998_Transcript_1	2562	227
Locus_130293_Transcript_1	1859	282
Locus_57394_Transcript_1	6855	6319
Locus_57393_Transcript_1	7114	6578
Locus_15764_Transcript_1	392	346
Locus_15763_Transcript_1	467	421
Locus_11872_Transcript_1	7048	101
Locus_18229_Transcript_1	2774	2607
Locus_31664_Transcript_1	1768	54
Locus_47444_Transcript_1	1777	1623
Locus_47446_Transcript_1	1813	1623
Locus_47447_Transcript_1	1886	1692
Locus_47440_Transcript_1	1725	1623
Locus_47441_Transcript_1	1817	1623
Locus_47442_Transcript_1	1817	1623
Locus_47443_Transcript_1	1817	1623
Locus_47448_Transcript_1	1846	1692
Locus_108168_Transcript_1	3047	2404
Locus_111866_Transcript_1	1589	1527
Locus_111869_Transcript_1	1576	1514
Locus_127826_Transcript_1	4409	333
Locus_126210_Transcript_1	807	62
Locus_126210_Transcript_2	810	65
Locus_127823_Transcript_1	2185	9
Locus_66816_Transcript_1	3705	577
Locus_66817_Transcript_1	3101	158
Locus_66818_Transcript_1	2453	158
Locus_10848_Transcript_1	1761	72
Locus_2349_Transcript_1	6715	743
Locus_2348_Transcript_1	3662	743
Locus_42115_Transcript_1	1102	723
Locus_42114_Transcript_1	746	509
Locus_42117_Transcript_1	801	738
Locus_42116_Transcript_1	808	745
Locus_42111_Transcript_1	876	738
Locus_42110_Transcript_1	869	806
Locus_42113_Transcript_1	975	738
Locus_42119_Transcript_1	1452	1382
Locus_42118_Transcript_1	1048	710
Locus_1509_Transcript_1	1533	71
Locus_35568_Transcript_2	1089	798
Locus_35569_Transcript_1	984	913
Locus_35565_Transcript_1	6871	6794
Locus_127735_Transcript_1	4031	3931
Locus_103092_Transcript_1	3205	2259
Locus_57452_Transcript_1	2338	1183
Locus_101960_Transcript_1	1940	1574
Locus_113371_Transcript_1	5078	4422
Locus_113370_Transcript_1	5010	4354
Locus_76600_Transcript_1	1525	1446
Locus_16510_Transcript_1	1140	260
Locus_16511_Transcript_1	1317	157
Locus_16512_Transcript_1	836	93
Locus_16515_Transcript_1	2354	2200
Locus_121996_Transcript_1	1558	86
Locus_46632_Transcript_1	5118	5110
Locus_8777_Transcript_1	649	630
Locus_60096_Transcript_1	3859	396
Locus_60093_Transcript_1	7830	396
Locus_71827_Transcript_1	3899	122
Locus_71826_Transcript_1	3884	122
Locus_63549_Transcript_1	5126	4608
Locus_58213_Transcript_1	3070	1269
Locus_127737_Transcript_1	3914	3814
Locus_106727_Transcript_1	3609	3586
Locus_106728_Transcript_1	3590	3567
Locus_106729_Transcript_1	3651	3628
Locus_99735_Transcript_1	1249	552
Locus_122601_Transcript_1	3365	3254
Locus_41685_Transcript_1	1127	10
Locus_41686_Transcript_1	4585	10
Locus_41687_Transcript_1	3210	10
Locus_41688_Transcript_1	4611	10
Locus_40557_Transcript_1	1374	61
Locus_40556_Transcript_1	1374	61
Locus_40555_Transcript_1	1494	61
Locus_40554_Transcript_1	1494	61
Locus_40553_Transcript_1	1446	61
Locus_40552_Transcript_1	1449	67
Locus_40551_Transcript_1	1558	125
Locus_40550_Transcript_1	1558	125
Locus_14479_Transcript_1	1150	32
Locus_14478_Transcript_1	1675	32
Locus_32860_Transcript_1	1775	1568
Locus_95579_Transcript_1	3363	602
Locus_1155_Transcript_1	5063	146
Locus_1155_Transcript_2	5037	146
Locus_32287_Transcript_1	705	149
Locus_126481_Transcript_1	1183	1167
Locus_126480_Transcript_1	1245	1229
Locus_32280_Transcript_1	685	141
Locus_57648_Transcript_1	3642	1484
Locus_57646_Transcript_1	3630	1472
Locus_103528_Transcript_1	3172	121
Locus_37983_Transcript_2	2372	151
Locus_37983_Transcript_3	2402	151
Locus_37983_Transcript_4	2255	151
Locus_37983_Transcript_5	2285	151
Locus_37983_Transcript_6	2342	151
Locus_37983_Transcript_7	2225	151
Locus_4192_Transcript_1	1619	144
Locus_4192_Transcript_2	1961	84
Locus_103526_Transcript_1	2238	104
Locus_100237_Transcript_1	2312	673
Locus_101886_Transcript_1	3142	1575
Locus_101887_Transcript_1	1831	1575
Locus_130955_Transcript_2	1446	67
Locus_44209_Transcript_1	2102	1909
Locus_44203_Transcript_1	3284	2987
Locus_129419_Transcript_1	2444	2259
Locus_129418_Transcript_1	2227	2042
Locus_30010_Transcript_1	7706	7310
Locus_86670_Transcript_1	3074	2535
Locus_65047_Transcript_1	3645	1847
Locus_65048_Transcript_1	1915	117
Locus_64795_Transcript_1	776	722
Locus_64794_Transcript_1	776	722
Locus_64792_Transcript_1	797	722
Locus_64791_Transcript_1	795	722
Locus_64790_Transcript_1	863	722
Locus_103104_Transcript_1	2276	265
Locus_128718_Transcript_1	1883	1787
Locus_99540_Transcript_1	5711	3402
Locus_99541_Transcript_1	7603	5548
Locus_17085_Transcript_1	3545	3455
Locus_17084_Transcript_1	2841	2751
Locus_115050_Transcript_1	3056	2991
Locus_8310_Transcript_1	1841	55
Locus_98622_Transcript_1	2038	1989
Locus_98623_Transcript_1	1979	1930
Locus_107483_Transcript_1	1247	156
Locus_107484_Transcript_1	1492	156
Locus_88508_Transcript_1	2919	2881
Locus_88509_Transcript_1	1677	1242
Locus_88503_Transcript_1	1700	1544
Locus_88504_Transcript_1	541	455
Locus_88505_Transcript_1	1642	1542
Locus_88506_Transcript_1	2541	2441
Locus_88507_Transcript_1	1802	900
Locus_81839_Transcript_1	1760	1663
Locus_81838_Transcript_1	2491	1663
Locus_81837_Transcript_1	1811	1663
Locus_74537_Transcript_1	4402	4322
Locus_74538_Transcript_1	4380	4300
Locus_71058_Transcript_1	4543	4270
Locus_123798_Transcript_1	1411	1330
Locus_123798_Transcript_2	1466	1385
Locus_123798_Transcript_3	1590	1509
Locus_124107_Transcript_1	1676	44
Locus_82111_Transcript_1	2935	182
Locus_82110_Transcript_1	2984	182
Locus_82113_Transcript_1	2733	182
Locus_82112_Transcript_1	3001	182
Locus_82115_Transcript_1	2929	182
Locus_82114_Transcript_1	2667	182
Locus_106731_Transcript_1	3646	3623
Locus_95601_Transcript_1	1124	140
Locus_95603_Transcript_1	1232	142
Locus_95602_Transcript_1	1143	142
Locus_95605_Transcript_1	1319	1151
Locus_95604_Transcript_1	1228	142
Locus_34264_Transcript_1	3051	20
Locus_106734_Transcript_1	3633	3610
Locus_38268_Transcript_1	1123	308
Locus_102679_Transcript_1	3874	3780
Locus_102245_Transcript_1	1650	799
Locus_102244_Transcript_1	1650	799
Locus_102249_Transcript_1	1152	532
Locus_102248_Transcript_1	1152	532
Locus_129420_Transcript_1	4904	4738
Locus_90409_Transcript_1	6500	2261
Locus_90400_Transcript_1	4731	126
Locus_90403_Transcript_1	5049	4493
Locus_48630_Transcript_1	5531	2483
Locus_6330_Transcript_1	2765	68
Locus_6330_Transcript_2	2895	208
Locus_6331_Transcript_1	2939	312
Locus_6332_Transcript_1	2814	187
Locus_97997_Transcript_1	1683	149
Locus_97996_Transcript_1	2206	166
Locus_97995_Transcript_1	2166	166
Locus_97994_Transcript_1	2110	166
Locus_97993_Transcript_1	2247	166
Locus_97992_Transcript_1	1803	166
Locus_97991_Transcript_1	2250	166
Locus_97990_Transcript_1	1803	166
Locus_124966_Transcript_1	857	149
Locus_22935_Transcript_1	2695	11
Locus_27437_Transcript_1	4752	4431
Locus_27437_Transcript_2	4718	4397
Locus_78507_Transcript_1	1157	91
Locus_78506_Transcript_1	1163	92
Locus_21158_Transcript_1	2395	418
Locus_77410_Transcript_1	4013	2010
Locus_49736_Transcript_1	3956	3767
Locus_38791_Transcript_1	818	50
Locus_42769_Transcript_1	3884	1793
Locus_118427_Transcript_1	2420	1769
Locus_118423_Transcript_1	1089	169
Locus_114673_Transcript_1	6696	4313
Locus_114672_Transcript_1	6616	4233
Locus_114679_Transcript_1	1773	10
Locus_114678_Transcript_1	1059	10
Locus_105717_Transcript_1	1686	335
Locus_105713_Transcript_1	3006	110
